,Departamento,Municipality,Grid,MPIO_CCNCT,Coca Cultivation Area,Base Coca,Total Erradication,Predicted
33889,CHOCÓ,MEDIO BAUDÓ,54_72_1_19,27430,2.7566,0.0,1925.8242,3.396417409181595
44075,GUAVIARE,MIRAFLORES,125_10_1_9,95200,3.2093,1829065.0,7708.429999999999,2.692551651597023
50102,META,LA MACARENA,95_76_3_25,50350,0.72,0.0,0.0,1.2107999858260154
46755,GUAVIARE,SAN JOSÉ DEL GUAVIARE,97_54_2_21,95001,7.3100000000000005,761276.0,37486.73,7.708964591026306
11046,BOLÍVAR,MONTECRISTO,27_12_4_5,13458,17.04698534102,398432.0,6204.9259999999995,18.30442237377167
24249,CAQUETÁ,SOLANO,122_15_2_20,18756,31.98353280171,431223.0,2033.09,24.618508858680727
64108,NARIÑO,SAMANIEGO,105_65_1_17,52678,91.19558495540001,1366448.0,404.0612,18.563893785476683
48696,MAGDALENA,SANTA MARTA,3_89_3_1,47001,0.54,0.0,0.0,3.8176000618934633
86440,VICHADA,CUMARIBO,63_81_1_5,99773,1.8900000000000001,1906349.0,21913.19,3.7728164386749268
6033,ANTIOQUIA,TARAZÁ,32_10_1_17,5790,44.69037784385,3262197.0,10143.849,42.912044067382816
60191,NARIÑO,EL CHARCO,91_92_4_20,52250,1.98,0.0,5656.52,2.5031000089645388
25110,CAQUETÁ,SOLANO,122_5_4_1,18756,11.753831368029,431708.0,3153.96,31.53299461364746
19645,CAQUETÁ,EL PAUJÍL,108_23_3_14,18256,27.09044994875,798125.0,836.6030000000001,17.318914729356766
53950,META,PUERTO LLERAS,82_95_3_5,50577,16.7,0.0,8742.42,17.730299911499024
87253,VICHADA,CUMARIBO,73_75_2_5,99773,1.08,0.0,12868.61,2.139200036525726
62723,NARIÑO,OLAYA HERRERA,90_90_1_19,52490,8.387930845633,5189179.0,12585.78,21.208022117614746
68028,NORTE DE SANTANDER,EL CARMEN,21_34_2_16,54245,12.07586926427,94350.0,0.0,24.534936404228212
78028,PUTUMAYO,PUERTO GUZMÁN,121_34_2_23,86571,4.026839049509,150025.0,12696.119999999999,4.362059826850891
16163,CAQUETÁ,BELÉN DE LOS ANDAQUÍES,107_67_4_9,18094,1.6307339449540001,10082.0,403.51,1.480729814171791
63645,NARIÑO,ROBERTO PAYÁN,104_39_4_25,52621,0.9119449573780001,25000.0,803.37,2.5248227160423995
53124,META,PUERTO CONCORDIA,97_32_2_20,50450,5.85,0.0,4228.219999999999,5.473299899101257
7366,ANTIOQUIA,YARUMAL,32_60_1_12,5887,1.0286471368419998,43420.0,0.0,1.0020048539340496
67027,NARIÑO,SANTA BÁRBARA,91_44_3_17,52696,1.5899999999999999,0.0,4002.5,1.5504000347852707
77927,PUTUMAYO,PUERTO GUZMÁN,121_33_1_2,86571,8.4618375,236530.0,13765.33,6.250967831611633
9757,ARAUCA,SARAVENA,37_71_2_14,81736,4.28,0.0,918.9200000000001,3.357800009250641
66996,NARIÑO,SANTA BÁRBARA,91_43_3_20,52696,5.49,8915.0,6726.21,9.293280096054078
45688,GUAVIARE,SAN JOSÉ DEL GUAVIARE,97_29_1_12,95001,18.737650657895,4146115.0,50364.573000000004,18.650446491241453
43716,GUAVIARE,MIRAFLORES,112_72_1_12,95200,18.59943155,4342912.0,21558.643,14.32107954978943
47440,GUAVIARE,SAN JOSÉ DEL GUAVIARE,97_66_1_4,95001,0.71,0.0,14414.810000000001,1.9822999840974809
